FIPS,County,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-Hispanic white,# Not Proficient in English,% Not Proficient in English,Not Proficient in English 95% CI - Low,Not proficient in English 95% CI - High,Female,Rural,% Diabetic,Diabetic 95% CI - Low,Diabetic 95% CI - High,HIV Cases,HIV Rate,Premature Total deaths,Premature Age-adjusted Mortality,Premature 95% CI - Low,Premature '95% CI - High,Infant mortality rate,Infant Mortality 95% CI - Low,Infant Mortality 95% CI - High,Total deaths,Child mortality rate,Child Mortality 95% CI - Low,Child Mortality 95% CI - High,% Food Insecure,Limited Access to health foods # ,Limited Access to health foods %,Motor Vehicle Deaths,Motor Vehicle Mortality Rate,Motor Vehicle 95% CI - Low,Motor Vehicle 95% CI - High,Drug Poisoning Deaths,Drug Poisoning Mortality Rate,# Uninsured,% Uninsured,Uninsured 95% CI - Low,Uninsured 95% CI - High,# Uninsured Children,% Uninsured Children,Uninsured Children 95% CI - Low,Uninsured Children 95% CI - High,Health Care Costs,Health Care Costs 95% CI - Low,Health Care Costs 95% CI - High,Could not see Dr due to cost Sample Size,Could not see Dr due to cost % Couldn't Access,Could not see Dr due to cost 95% CI - Low,Could not see Dr due to cost 95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Median Household Income,Median Household Income 95% CI - Low,Median Household Income 95% CI - High,Children Eligible Free Lunch % Free Lunch,Homicide Rate,Homicide Rate 95% CI - Low,Homicide Rate 95% CI - High,Location 1
49045,Tooele,59870,35.299999999999997,7.9,0.7,1.2,0.7,0.4,11.8,84.1,662,1.3,0.8,1.8,49.6,17.7,9,8,10,16,37,458,347.6,315.10000000000002,380.1,5,3.4,6.7,39,47.7,33.9,65.2,14,3799,7,66,18,14,22,68,18,5764,17,15,20,2109,10,7,12,9095,9091,9099,2922,13,11,14,50,1996:01:00,61927,59708,64146,34,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49047,Uintah,34524,33.6,9.1,0.3,8,0.5,0.3,7.4,82.6,125,0.4,0,0.9,49.2,46.8,8,7,10,5,21,317,396.2,351.8,440.5,5.2,3,7.5,24,57.4,36.799999999999997,85.4,14,1783,5,48,23,17,30,27,13,4532,24,21,27,1794,16,12,19,7086,7083,7090,1634,12,10,14,41,2466:01:00,60419,55173,65665,36,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49051,Wasatch,25273,33.1,9.1,0.2,0.8,0.9,0.2,13.2,84.4,460,2.2,1.4,3,49.2,26.9,6,5,7,5,28,137,227.2,188.7,265.60000000000002,,,,21,69,42.7,105.4,14,181,1,24,16,10,24,25,17,3332,24,21,27,1312,16,12,19,8327,8322,8333,2785,13,11,15,24,4212:01:00,62014,55389,68639,30,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49000,Statewide,2855287,31.1,9.5,1,1.5,2.2,1,13.2,80.2,69797,2.8,2.7,2.9,49.8,9.4,7,,,2364,111,19123,286.7,282.60000000000002,290.89999999999998,5,4.8,5.3,1788,52.9,50.4,55.3,17,144691,5,2001,11,11,12,3130,17,325775,20,19,20,99457,11,10,12,8925,8925,8926,55779,13,12,13,58,1718:01:00,57067,56233,57901,31,2,2,2,"Utah
(39.36070123200005, -111.58712831499997)"
49039,Sanpete,27906,29.4,12.3,0.7,1.5,0.6,0.5,9.300000000000001,86.9,509,2,1.4,2.6,47.6,40.9,8,6,9,5,22,232,314.3,273.10000000000002,355.5,,,,20,61.2,37.4,94.5,17,1057,4,33,18,12,25,30,16,3450,24,21,27,1326,15,12,19,8942,8938,8947,933,13,11,16,22,4651:01:00,43921,39645,48197,38,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49031,Piute,1524,27.8,23.7,0.2,0.9,0.4,0.2,6.9,91.2,13,0.8,0,4,49.1,100,10,7,13,,,24,445.8,275.89999999999998,681.4,,,,,,,,15,639,41,,,,,,,191,26,23,29,67,17,12,21,7824,7812,7836,,,,,,,36403,32137,40669,58,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49025,Kane,7221,23.4,20.5,0.2,1.5,0.5,0,3.8,93,6,0.1,0,1.2,50.6,54.9,10,7,13,,,84,293.60000000000002,230.1,369.1,,,,,,,,14,1139,16,10,21,10,39,12,26,754,19,16,21,214,12,9,15,8121,8115,8127,,,,,69,1444:01:00,43128,38353,47903,31,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49013,Duchesne,19244,33.6,11,0.2,4.7,0.4,0.3,6.5,86.8,143,0.9,0.2,1.5,49.1,68.2,8,7,10,,,201,410.3,352.8,467.8,,,,17,70.400000000000006,41,112.7,14,1560,8,42,36,26,48,21,18,2330,23,20,25,933,14,11,17,8527,8523,8532,1009,13,11,16,57,1749:01:00,57945,53413,62477,34,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49057,Weber,236640,29.7,10.6,1.2,1.2,1.4,0.3,17,77.900000000000006,6978,3.3,2.9,3.7,49.8,5.8,8,7,9,130,72,1926,328.1,313.2,342.9,5.8,4.9,6.6,158,58.5,49.4,67.599999999999994,16,13888,6,159,10,9,12,311,20,27381,20,18,22,8556,12,9,14,8942,8940,8944,4330,11,10,13,58,1727:01:00,54169,51195,57143,37,2,2,3,"Utah
(39.36070123200005, -111.58712831499997)"
49021,Iron,46750,29.6,10.6,0.4,2.4,1,0.3,7.8,87.1,714,1.7,1,2.4,50.3,22.6,7,5,9,13,36,366,320.89999999999998,287.39999999999998,354.5,7.1,5,9.199999999999999,35,64,44.6,89.1,19,5562,12,39,13,9,18,53,18,7224,26,23,30,2109,15,11,18,8266,8262,8269,579,13,10,18,43,2338:01:00,41804,37815,45793,40,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49029,Morgan,9821,34.299999999999997,11.3,0.2,0.3,0.4,0.1,2.4,96,35,0.4,0,1.4,49.8,62.8,7,6,10,,,54,210.5,157.69999999999999,275.39999999999998,,,,,,,,11,5,0,,,,,,,714,14,12,15,349,10,7,13,7711,7704,7718,217,13,7,21,10,9821:01:00,75348,66875,83821,12,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49055,Wayne,2737,28.1,17.600000000000001,0.1,1.1,0.7,0.1,4.3,93.2,54,2.1,0,4.5,49.7,100,9,6,12,,,25,277.89999999999998,178.1,413.5,,,,,,,,18,375,14,,,,,,,397,26,23,30,165,20,15,25,8021,8010,8032,,,,,,,40185,35544,44826,33,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49011,Davis,315809,33.799999999999997,8.699999999999999,1.1,0.6,1.9,0.7,8.6,85.6,3046,1.1,0.9,1.3,49.8,0.9,6,6,7,123,54,1799,251.9,240,263.8,4.3,3.6,4.9,208,50.8,43.9,57.7,13,12740,4,138,7,6,8,291,15,26995,15,14,17,7899,7,5,9,8977,8976,8979,4848,9,8,10,32,3096:01:00,69019,66454,71584,19,1,1,2,"Utah
(39.36070123200005, -111.58712831499997)"
49043,Summit,38003,26.8,8.800000000000001,0.4,0.5,1.4,0.1,11.5,85.4,1104,3.2,2.5,4,48.6,39.200000000000003,4,3,5,23,77,193,190,162.4,217.5,,,,16,40.1,22.9,65.099999999999994,13,1354,4,32,13,9,19,30,12,4043,17,15,19,1178,11,8,14,8010,8006,8014,2511,11,9,13,39,2534:01:00,84672,77709,91635,18,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49007,Carbon,21246,26.9,14.2,0.4,1.4,0.7,0.2,12.5,84.1,144,0.7,0.2,1.3,50.4,33.700000000000003,9,8,11,,,269,423.5,371.6,475.4,,,,14,63.1,34.5,105.9,16,1758,8,31,22,15,31,43,30,2086,17,15,19,540,9,7,12,8222,8218,8226,1222,17,14,20,61,1634:01:00,47214,42487,51941,44,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49019,Grand,9328,23,14.6,0.4,4.4,0.9,0.1,9.6,83.9,215,2.5,0.6,4.4,49.8,25.4,6,5,8,,,123,406.7,333,480.3,,,,,,,,18,646,7,19,31,18,48,16,26,1571,27,24,30,327,15,11,18,6739,6734,6744,522,13,10,18,54,1866:01:00,42702,38355,47049,39,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49009,Daggett,1090,22.4,21.1,0.3,1.2,0.5,0.1,3.4,94.3,5,0.6,0,6.8,44.2,100,9,6,12,,,,,,,,,,,,,,16,356,34,,,,,,,119,20,17,23,46,16,12,20,7324,7309,7340,,,,,92,1090:01:00,50911,45256,56566,19,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49015,Emery,10933,31.5,13.2,0.2,0.9,0.4,0.1,6,92,128,1.3,0.2,2.4,49.1,73.599999999999994,8,6,10,,,122,358.8,294.39999999999998,423.3,,,,,,,,14,1321,12,10,13,6,25,21,28,1115,18,16,21,380,11,8,13,7506,7500,7512,615,15,12,19,37,2733:01:00,51819,46873,56765,36,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49003,Box Elder,50171,33.200000000000003,11.8,0.3,1.1,0.9,0.2,8.5,88.2,461,1,0.6,1.4,49.4,31.1,8,7,10,18,48,365,281.3,252.2,310.39999999999998,6,4.1,8,36,54.1,37.9,74.900000000000006,15,2241,4,60,18,14,23,44,13,4950,18,16,20,1509,9,6,11,7875,7872,7878,967,13,10,17,20,5017:01:00,53830,50101,57559,31,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49035,Salt Lake,1063842,28.8,9.1,1.5,1.3,3.5,1.6,17.399999999999999,73.8,39315,4.2,,,49.7,0.9,7,6,7,1778,220,7656,301.5,294.60000000000002,308.39999999999998,5.3,4.9,5.7,637,54.2,50,58.4,15,31463,3,659,10,9,10,1383,20,128697,20,19,21,35588,11,10,13,9122,9122,9123,17922,14,13,14,78,1280:01:00,58743,57113,60373,35,3,3,4,"Utah
(39.36070123200005, -111.58712831499997)"
49027,Millard,12569,31.3,15.4,0.1,1.8,0.7,0.1,12.9,84.6,486,4.3,2.7,5.8,49.1,73.900000000000006,8,6,10,,,104,284.39999999999998,228.6,340.1,,,,,,,,14,1546,12,18,21,13,34,12,14,1728,26,23,29,645,15,12,19,7586,7581,7591,540,12,9,16,8,12569:1,48472,43959,52985,39,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49049,Utah,540504,34.799999999999997,6.8,0.5,0.8,1.5,0.8,10.9,84,8963,2,,,49.8,3.3,6,5,6,125,33,2459,247.8,237.5,258,4.6,4.2,5.1,336,48.7,43.5,53.9,16,32759,6,270,8,7,9,490,15,58833,20,18,21,20410,11,9,12,9781,9779,9782,6175,14,12,15,52,1917:01:00,58167,55313,61021,27,1,1,1,"Utah
(39.36070123200005, -111.58712831499997)"
49037,San Juan,14965,32.4,11.4,0.2,49.3,0.5,0.1,5,44.4,861,6.4,5,7.9,49.7,77.900000000000006,9,7,11,,,122,314.5,258.10000000000002,371,,,,12,60.7,31.4,106.1,21,4053,27,40,40,29,55,,,2309,28,25,31,813,16,12,19,8776,8770,8782,454,15,11,20,74,1360:01:00,38329,34196,42462,61,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49033,Rich,2267,30.6,16.399999999999999,0,0.6,0.3,0,4.3,94.3,7,0.3,0,2.7,48.9,100,9,6,12,,,,,,,,,,,,,,12,743,33,,,,,,,242,20,17,22,116,16,12,20,7764,7751,7777,,,,,132,756:01:00,53643,47588,59698,56,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49001,Beaver,6501,32.299999999999997,12.9,0.2,1.6,1.1,0.3,10.5,86.3,95,1.6,,,48.3,56.5,9,6,12,,,75,392.9,308,494.1,,,,,,,,17,321,5,16,36,21,59,,,858,24,21,27,346,15,11,19,8208,8201,8216,,,,,92,1084:01:00,46309,41211,51407,32,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49041,Sevier,20784,31.3,15.3,0.2,1.4,0.3,0.2,4.6,92.6,182,1,0.3,1.6,49.4,64.7,10,8,12,,,235,382.2,332.2,432.2,8.199999999999999,4.6,11.8,14,52.9,28.9,88.7,15,144,1,26,18,12,27,24,17,2518,23,20,25,777,11,9,14,8869,8865,8873,857,12,10,15,24,4157:01:00,45243,40880,49606,38,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49023,Juab,10341,36.200000000000003,10.9,0.3,1,0.3,0.2,4.1,93.4,32,0.3,0,1.2,49,43.5,7,5,9,,,111,434.5,352.7,516.4,,,,10,66.099999999999994,31.7,121.6,16,1351,13,16,24,14,39,17,25,1045,19,16,22,462,12,9,15,9576,9569,9583,350,13,9,18,29,3447:01:00,51823,46650,56996,30,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49017,Garfield,5095,26.5,17.899999999999999,0.4,1.8,1.1,0.2,4.8,91.2,5,0.1,0,1.6,48,100,9,7,12,,,42,235,166.3,322.60000000000002,,,,,,,,18,569,11,,,,,,,574,20,17,23,184,14,10,17,8261,8254,8268,,,,,39,2548:01:00,41786,38570,45002,41,,,,"Utah
(39.36070123200005, -111.58712831499997)"
49053,Washington,144809,29.7,18.3,0.5,1.7,0.8,0.8,9.9,85.6,2643,2.1,,,50.5,15.2,8,7,9,35,32,1106,270.3,253.6,287,5,4,6.1,88,53.4,42.8,65.8,17,11473,8,147,16,14,19,115,13,18672,25,23,28,6084,14,11,17,8814,8813,8816,1810,15,12,18,67,1493:01:00,45305,41759,48851,31,1,1,3,"Utah
(39.36070123200005, -111.58712831499997)"
49005,Cache,115520,30.9,8.199999999999999,0.6,0.9,2.1,0.5,10.1,85.1,2406,2.4,2,2.8,50.3,15.7,6,5,7,35,41,493,206.3,187.5,225.2,3.7,2.8,4.6,68,50.2,38.9,63.6,16,9864,9,70,10,7,12,68,9,13347,20,17,22,3220,9,7,11,8536,8534,8539,1949,12,10,14,35,2818:01:00,47609,43983,51235,27,,,,"Utah
(39.36070123200005, -111.58712831499997)"
